permco,year,quarter_num,dlyret,dlyvol,dlycap
10302,2021,4,-0.0008900000000000002,2173523.8125,20660088.8871875
10302,2022,1,0.003314758064516129,2560314.629032258,21818321.512258064
10302,2022,2,-0.0026254516129032264,2071473.0161290322,22374376.524193548
10302,2022,3,-0.0035224375,1770476.609375,19639456.730625
10302,2022,4,0.0022419841269841266,2336371.9682539683,16857245.475079365
10302,2023,1,-0.0003078548387096773,2156069.0967741935,19271313.066129033
10302,2023,2,0.001670258064516129,2405733.193548387,18129956.62677419
10302,2023,3,-0.001535238095238095,2136817.9206349207,18055426.452063493
10302,2023,4,0.0029678253968253967,2130578.714285714,18022175.800952382
10302,2024,1,-0.0019238524590163935,2478158.37704918,18278871.418032788
10302,2024,2,0.002680460317460317,2212092.4285714286,18884067.636507936
10302,2024,3,0.003701078125,2546098.140625,23809950.1815625
10302,2024,4,-0.001037953125,2602736.34375,26380516.21609375
10486,2014,1,0.0001692950819672131,43921519.55737705,115127000.20622951
10486,2014,2,0.0018342857142857145,33979187.603174604,122239073.54079364
10486,2014,3,0.00046828125000000006,25750670.875,128514118.19625
10486,2014,4,0.00163096875,28253411.515625,131903946.90921874
10486,2015,1,0.00022367213114754097,31262741.262295082,143767343.51213115
10486,2015,2,6.4920634920636725e-06,24006852.80952381,146045911.86444443
10486,2015,3,-0.00046128125,27650673.53125,137132481.07375
10486,2015,4,0.00075603125,25692151.890625,140005022.900625
10486,2016,1,0.0011076065573770494,32928526.360655736,129802136.4719672
10486,2016,2,0.00034828124999999996,23218155.203125,141236559.44203126
10486,2016,3,0.001744484375,22367270.484375,154542913.2
10486,2016,4,-0.0005876666666666668,21886703.698412698,153009214.35809523
10486,2017,1,0.0019691451612903225,20499685.112903226,162497431.48080644
10486,2017,2,-0.0010095873015873017,21468916.714285713,162944760.64952382
10486,2017,3,0.001341698412698413,20095781.492063493,158445556.96603176
10486,2017,4,0.0022469365079365077,18825280.07936508,176739041.80761904
10486,2018,1,0.0021489180327868853,29635038.80327869,207298202.32819673
10486,2018,2,0.00026710937500000004,22697992.796875,207256300.22984377
10486,2018,3,0.0021272698412698413,19918802.873015873,207959273.64539683
10486,2018,4,-0.0014931587301587304,26564451.873015873,206992907.4447619
10486,2019,1,0.003808934426229508,21325881.606557377,215198764.87278688
10486,2019,2,0.0004394285714285714,22184725.587301586,238736603.76904762
10486,2019,3,-0.001332,18924537.546875,221286997.39765626
10486,2019,4,-0.0002388281249999999,19917076.703125,197202455.24625
10486,2020,1,-0.0022690000000000006,31129395.69354839,186072676.98435485
10486,2020,2,0.0031515396825396824,24581287.14285714,185328984.35936508
10486,2020,3,-0.002339875,22155831.0,184457851.25984374
10486,2020,4,0.002246984375,22240899.484375,173707647.11671874
10486,2021,1,0.0025977868852459017,22558400.508196723,198209466.41163936
10486,2021,2,0.000554047619047619,18638573.507936507,221814212.67476192
10486,2021,3,0.0005710625,15979369.8125,236580057.165
10486,2021,4,0.00258471875,19894518.75,240959721.593125
10486,2022,1,-0.0018467580645161292,22436713.56451613,236117355.92741936
10486,2022,2,-0.0038920483870967743,24435469.532258064,198528769.4316129
10486,2022,3,-0.0007371249999999999,18795374.140625,182727627.285625
10486,2022,4,0.003049857142857143,19194372.206349205,186939820.2657143
10486,2023,1,0.0017137096774193549,18373131.774193548,200174991.41403225
10486,2023,2,2.2064516129032275e-05,18609422.112903226,200739858.6251613
10486,2023,3,0.0007901746031746032,18130051.92063492,219315630.3225397
10486,2023,4,-0.000755904761904762,18692705.19047619,207305804.42571428
10486,2024,1,-2.8180327868852596e-05,19677951.75409836,202236003.57491803
10486,2024,2,-0.000591984126984127,19339133.92063492,191609985.98396826
10486,2024,3,0.0020049531250000002,18748287.890625,194898787.54765624
10486,2024,4,0.001834265625,18176443.40625,227478668.44703126
10996,2014,1,-0.00011231147540983607,5367453.737704918,10201353.20622951
10996,2014,2,0.001469857142857143,5428287.746031746,10404197.993650794
10996,2014,3,-0.001336234375,3684143.140625,10777197.17125
10996,2014,4,-0.00023464062500000004,5964015.265625,9826007.32734375
10996,2015,1,-0.0008300327868852461,6407117.31147541,8883295.95377049
10996,2015,2,0.0007081269841269843,6081627.952380952,9333642.26920635
10996,2015,3,-0.0044397343750000005,6074201.265625,8240098.50234375
10996,2015,4,-1.1562500000000085e-05,5905797.109375,6809400.50796875
10996,2016,1,0.0039263934426229516,6421305.950819672,6645477.885409836
10996,2016,2,0.001158765625,4864330.265625,7430100.25125
10996,2016,3,0.0006960937500000001,4417150.625,8210301.805625
10996,2016,4,-0.0012905555555555554,5582607.73015873,7736805.033809524
10996,2017,1,-0.00028851612903225797,5619917.483870967,7529864.1132258065
10996,2017,2,0.0001297619047619048,5482413.873015873,7575396.7330158735
10996,2017,3,8.97619047619048e-05,4874601.317460317,7366894.893174603
10996,2017,4,-2.3682539682539632e-05,5748279.80952381,7143292.402380953
10996,2018,1,0.0011909672131147542,9374375.770491803,7179146.677704917
10996,2018,2,0.0028290625,6795710.859375,8134821.22015625
10996,2018,3,0.0009197619047619047,6635109.285714285,8908593.177460317
10996,2018,4,0.0008334444444444445,6963526.380952381,9939001.615396826
10996,2019,1,0.003870049180327869,5690004.278688525,11137094.819016393
10996,2019,2,-0.001002968253968254,6042719.777777778,11227597.122063493
10996,2019,3,-0.00017115625000000003,4857091.390625,10691100.87140625
10996,2019,4,0.0032776718749999998,5401919.609375,11878013.56703125
10996,2020,1,-0.004592354838709677,5369611.516129033,11902147.967741935
10996,2020,2,0.0021231587301587303,6830589.476190476,8734683.875238094
10996,2020,3,0.003823546875,5121408.703125,11108756.14671875
10996,2020,4,0.00436525,5475251.234375,13821110.39984375
10996,2021,1,0.0026227049180327865,7210665.491803279,17696333.12672131
10996,2021,2,-0.0002496666666666666,5240882.031746032,17621815.334126983
10996,2021,3,-0.0018685625,5164452.0625,16187558.80125
10996,2021,4,0.0011862187500000002,4861253.328125,16199970.6421875
10996,2022,1,0.0011981612903225808,6166946.580645162,15071352.584999999
10996,2022,2,-0.0028165483870967742,5887726.935483871,14566873.57983871
10996,2022,3,0.0015173125,5146380.265625,15834773.6565625
10996,2022,4,0.004133047619047619,3932969.714285714,18001299.19111111
10996,2023,1,-0.002592935483870968,4553537.693548387,16976181.35483871
10996,2023,2,-0.0021388387096774194,6144099.903225807,14731037.753225807
